 ,Total PnL,Max Loss,Median Return,Mean Return,StdDev,Trades
Benchmark,"$118,134","-$20,814",$970.40,$110.51,1.71,1069
Contango Strategy,"$106,834","-$20,814",$972.60,$139.65,1.78,765
