 ,Total PnL,Max Loss,Median Return,Mean Return,StdDev,Trades
Benchmark,"$18,024.00","-$3,580.00",$136,$16.86,1.71,1069
Contango Strategy,"$16,290.50","-$3,580.00",$125,$21.29,1.78,765
